instance,n,v,objective,bf_optimum,lp_lb,lp_ratio,milp_value,milp_status,milp_time_ms,sound,milp_matches_bf
problems/1_6/5_1767711946895.json,6,1,DISTANCE,3218.514492,2729.049871,0.847922,3218.514492,OPTIMAL,26,true,true
problems/1_6/5_1767711946895.json,6,1,PRICE,6446.356052,5466.008370,0.847922,6446.356052,OPTIMAL,88,true,true
problems/1_6/6_1767711946895.json,6,1,DISTANCE,3303.949048,2626.314033,0.794901,3303.949048,OPTIMAL,654,true,true
problems/1_6/6_1767711946895.json,6,1,PRICE,7889.143466,6271.091925,0.794901,7889.143466,OPTIMAL,978,true,true
problems/1_6/7_1767711946895.json,6,1,DISTANCE,2604.723682,1289.169190,0.494935,2604.723682,OPTIMAL,1033,true,true
problems/1_6/7_1767711946895.json,6,1,PRICE,6125.222844,3031.587815,0.494935,6125.222844,OPTIMAL,1123,true,true
problems/1_6/8_1767711946895.json,6,1,DISTANCE,2786.897385,1997.860975,0.716876,2786.897385,OPTIMAL,1901,true,true
problems/1_6/8_1767711946895.json,6,1,PRICE,4024.401257,2884.998301,0.716876,4024.401257,OPTIMAL,2878,true,true
problems/1_6/9_1767711946895.json,6,1,DISTANCE,2127.878506,1442.959085,0.678121,2127.878506,OPTIMAL,1168,true,true
problems/1_6/9_1767711946895.json,6,1,PRICE,3938.865615,2671.027461,0.678121,3938.865615,OPTIMAL,956,true,true
problems/1_7/0_1767711946895.json,7,1,DISTANCE,2675.245326,2136.036154,0.798445,2675.245326,OPTIMAL,1214,true,true
problems/1_7/0_1767711946895.json,7,1,PRICE,2808.806314,2242.677252,0.798445,2808.806314,OPTIMAL,1204,true,true
problems/1_7/1_1767711946895.json,7,1,DISTANCE,1588.326255,1001.797656,0.630725,1588.326255,OPTIMAL,1140,true,true
problems/1_7/1_1767711946895.json,7,1,PRICE,4041.737592,2549.226414,0.630725,4041.737592,OPTIMAL,1025,true,true
problems/1_7/2_1767711946895.json,7,1,DISTANCE,2520.877356,1506.882980,0.597761,2520.877356,OPTIMAL,2146,true,true
problems/1_7/2_1767711946895.json,7,1,PRICE,4024.192096,2405.506385,0.597761,4024.192096,OPTIMAL,2355,true,true
problems/1_7/3_1767711946895.json,7,1,DISTANCE,3391.123579,1972.069810,0.581539,3391.123579,OPTIMAL,1082,true,true
problems/1_7/3_1767711946895.json,7,1,PRICE,7194.730744,4184.014814,0.581539,7194.730744,OPTIMAL,1100,true,true
problems/1_7/4_1767711946895.json,7,1,DISTANCE,1979.631656,1239.809557,0.626283,1979.631656,OPTIMAL,2924,true,true
problems/1_7/4_1767711946895.json,7,1,PRICE,2880.296349,1803.880500,0.626283,2880.296349,OPTIMAL,2624,true,true
problems/1_7/5_1767711946895.json,7,1,DISTANCE,2118.313213,1437.338141,0.678530,2118.313213,OPTIMAL,2535,true,true
problems/1_7/5_1767711946895.json,7,1,PRICE,4655.155479,3158.660617,0.678530,4655.155479,OPTIMAL,2585,true,true
problems/1_7/6_1767711946895.json,7,1,DISTANCE,2664.012118,2208.844070,0.829142,2664.012118,OPTIMAL,1826,true,true
problems/1_7/6_1767711946895.json,7,1,PRICE,6410.451530,5315.173964,0.829142,6410.451530,OPTIMAL,1887,true,true
problems/1_7/7_1767711946895.json,7,1,DISTANCE,4093.027016,3111.095936,0.760097,4093.027016,OPTIMAL,1103,true,true
problems/1_7/7_1767711946895.json,7,1,PRICE,11303.109932,8591.455478,0.760097,11303.109932,OPTIMAL,1405,true,true
problems/1_7/8_1767711946895.json,7,1,DISTANCE,2826.402303,2261.831460,0.800251,2826.402303,OPTIMAL,672,true,true
problems/1_7/8_1767711946895.json,7,1,PRICE,6362.830347,5091.861777,0.800251,6362.830347,OPTIMAL,850,true,true
problems/1_7/9_1767711946895.json,7,1,DISTANCE,3043.799231,2236.063788,0.734629,3043.799231,OPTIMAL,2234,true,true
problems/1_7/9_1767711946895.json,7,1,PRICE,7765.873716,5705.037579,0.734629,7765.873716,OPTIMAL,1847,true,true
problems/2_1/0_1767711946895.json,1,2,DISTANCE,812.047425,749.356403,0.922799,812.047425,OPTIMAL,0,true,true
problems/2_1/0_1767711946895.json,1,2,PRICE,1103.399527,1100.451693,0.997328,1103.399527,OPTIMAL,5,true,true
problems/2_1/1_1767711946895.json,1,2,DISTANCE,571.825874,87.253039,0.152587,571.825874,OPTIMAL,5,true,true
problems/2_1/1_1767711946895.json,1,2,PRICE,598.825964,129.230786,0.215807,598.825964,OPTIMAL,5,true,true
problems/2_1/2_1767711946895.json,1,2,DISTANCE,252.726576,252.726576,1.000000,252.726576,OPTIMAL,0,true,true
problems/2_1/2_1767711946895.json,1,2,PRICE,527.895688,527.895688,1.000000,527.895688,OPTIMAL,0,true,true
problems/2_1/3_1767711946895.json,1,2,DISTANCE,803.172659,803.172659,1.000000,803.172659,OPTIMAL,0,true,true
problems/2_1/3_1767711946895.json,1,2,PRICE,1156.732670,1156.732670,1.000000,1156.732670,OPTIMAL,0,true,true
problems/2_1/4_1767711946895.json,1,2,DISTANCE,203.179951,203.179951,1.000000,203.179951,OPTIMAL,5,true,true
problems/2_1/4_1767711946895.json,1,2,PRICE,521.253868,416.083059,0.798235,521.253868,OPTIMAL,5,true,true
problems/2_1/5_1767711946895.json,1,2,DISTANCE,389.122861,119.289519,0.306560,389.122861,OPTIMAL,5,true,true
problems/2_1/5_1767711946895.json,1,2,PRICE,462.683776,229.381356,0.495763,462.683776,OPTIMAL,5,true,true
problems/2_1/6_1767711946895.json,1,2,DISTANCE,565.947611,212.068881,0.374715,565.947611,OPTIMAL,5,true,true
problems/2_1/6_1767711946895.json,1,2,PRICE,1219.620868,434.640036,0.356373,1219.620868,OPTIMAL,0,true,true
problems/2_1/7_1767711946895.json,1,2,DISTANCE,995.392968,729.480800,0.732857,995.392968,OPTIMAL,0,true,true
problems/2_1/7_1767711946895.json,1,2,PRICE,1875.325952,1423.152439,0.758883,1875.325952,OPTIMAL,0,true,true
problems/2_1/8_1767711946895.json,1,2,DISTANCE,1074.134529,1074.134529,1.000000,1074.134529,OPTIMAL,0,true,true
problems/2_1/8_1767711946895.json,1,2,PRICE,1843.443317,1843.443317,1.000000,1843.443317,OPTIMAL,0,true,true
problems/2_1/9_1767711946895.json,1,2,DISTANCE,1678.668189,1547.491988,0.921857,1678.668189,OPTIMAL,5,true,true
problems/2_1/9_1767711946895.json,1,2,PRICE,2578.521806,2535.889077,0.983466,2578.521806,OPTIMAL,5,true,true
problems/2_2/0_1767711946895.json,2,2,DISTANCE,1031.750257,849.832458,0.823680,1031.750257,OPTIMAL,6,true,true
problems/2_2/0_1767711946895.json,2,2,PRICE,1784.870182,1598.528962,0.895600,1784.870182,OPTIMAL,11,true,true
problems/2_2/1_1767711946895.json,2,2,DISTANCE,648.367940,434.966043,0.670863,648.367940,OPTIMAL,5,true,true
problems/2_2/1_1767711946895.json,2,2,PRICE,748.992312,601.838802,0.803531,748.992312,OPTIMAL,4,true,true
problems/2_2/2_1767711946895.json,2,2,DISTANCE,734.502945,502.033867,0.683502,734.502945,OPTIMAL,10,true,true
problems/2_2/2_1767711946895.json,2,2,PRICE,1179.735114,837.185349,0.709638,1179.735114,OPTIMAL,5,true,true
problems/2_2/3_1767711946895.json,2,2,DISTANCE,1207.302565,905.316431,0.749867,1207.302565,OPTIMAL,9,true,true
problems/2_2/3_1767711946895.json,2,2,PRICE,3388.264992,2427.174394,0.716347,3388.264992,OPTIMAL,15,true,true
problems/2_2/4_1767711946895.json,2,2,DISTANCE,1077.818585,586.416817,0.544077,1077.818585,OPTIMAL,7,true,true
problems/2_2/4_1767711946895.json,2,2,PRICE,1734.348328,1079.402626,0.622368,1734.348328,OPTIMAL,7,true,true
